id,access,highway,name,lanes,maxspeed,surface,motorcar,service,oneway,Links
way/24158513,private,residential,,2,30,paved,yes,,no,View on OSM
way/24158518,public,residential,A. Bonifacio Street,2,30,paved,yes,,no,View on OSM
way/24158573,destination,residential,,2,30,paved,yes,,no,View on OSM
way/24158585,private,residential,,2,30,paved,yes,,no,View on OSM
way/24158628,destination,residential,,2,30,paved,yes,,no,View on OSM
way/24158632,public,residential,A. Bonifacio Extension,2,30,paved,yes,,no,View on OSM
way/24158657,private,residential,,2,30,paved,yes,,no,View on OSM
way/24158664,private,service,,2,20,unpaved,no,alley,no,View on OSM
way/24158694,destination,residential,Jupiter Street,2,30,paved,yes,,no,View on OSM
way/24158710,destination,residential,Humanity Village Road,2,30,paved,yes,,no,View on OSM
way/24158765,public,residential,General Villamor Street,2,30,paved,yes,,no,View on OSM
way/24158774,destination,service,,2,20,unpaved,no,alley,no,View on OSM
way/24158792,destination,service,,2,20,unpaved,no,alley,no,View on OSM
way/24158865,private,residential,,2,30,paved,yes,,no,View on OSM
way/24158891,public,footway,,1,,paved,no,,no,View on OSM
way/28321106,public,residential,General Capinpin Street,2,30,paved,yes,,no,View on OSM
way/28321109,public,residential,General Yengko Street,2,30,paved,yes,,no,View on OSM
way/30438267,public,residential,General Antonio Luna Street,2,30,paved,yes,,no,View on OSM
way/30438268,public,residential,General Lucban Street,2,30,paved,yes,,no,View on OSM
way/30438269,public,residential,General Malvar Street,2,30,paved,yes,,no,View on OSM
way/34910176,public,residential,San Jose Street,2,30,paved,yes,,no,View on OSM
way/124171728,public,residential,,2,30,paved,yes,,no,View on OSM
way/124171729,destination,residential,,2,30,paved,yes,,no,View on OSM
way/124171732,private,residential,,2,30,paved,yes,,no,View on OSM
way/124171734,public,residential,,2,30,paved,yes,,no,View on OSM
way/124171735,private,residential,,2,30,paved,yes,,no,View on OSM
way/124171737,destination,residential,,2,30,paved,yes,,no,View on OSM
way/124171738,destination,service,,2,20,unpaved,no,alley,no,View on OSM
way/124171740,public,residential,,2,30,paved,yes,,no,View on OSM
way/124171743,private,residential,,2,30,paved,yes,,no,View on OSM
way/124171749,private,residential,Housing Street,2,30,paved,yes,,no,View on OSM
way/124171754,public,residential,A. Bonifacio Extension,2,30,paved,yes,,no,View on OSM
way/124171755,destination,residential,,2,30,paved,yes,,no,View on OSM
way/124171758,destination,residential,,2,30,paved,yes,,no,View on OSM
way/124171759,public,residential,A. Bonifacio Street,2,30,paved,yes,,no,View on OSM
way/124171767,private,footway,,1,,paved,no,,no,View on OSM
way/124171771,destination,residential,,2,30,paved,yes,,no,View on OSM
way/237101539,public,residential,Pineda Street,2,30,paved,yes,,no,View on OSM
way/252721994,destination,service,Block 3-4,2,20,unpaved,yes,alley,no,View on OSM
way/252722014,public,path,,1,,paved,no,,no,View on OSM
way/252722016,public,footway,,1,,paved,no,,no,View on OSM
way/252722017,private,residential,,2,30,paved,yes,,no,View on OSM
way/252722024,private,service,,2,20,unpaved,yes,,no,View on OSM
way/252724612,destination,residential,,2,30,paved,yes,,no,View on OSM
way/260901194,public,path,,1,,paved,no,,no,View on OSM
way/482454409,public,residential,,2,30,paved,yes,,no,View on OSM
way/482454411,public,footway,,1,,paved,no,,no,View on OSM
way/482454413,public,footway,,1,,paved,no,,no,View on OSM
way/593463083,public,residential,General F. Macabulos Street,2,30,paved,yes,,no,View on OSM
way/594263300,private,residential,,2,30,paved,yes,,no,View on OSM
way/594263301,private,service,,2,20,unpaved,no,alley,no,View on OSM
way/594263302,private,service,,2,20,unpaved,no,alley,no,View on OSM
way/594263304,destination,residential,Venus Street,2,30,paved,yes,,no,View on OSM
way/594263306,public,residential,General Geronimo Street,2,30,paved,yes,,no,View on OSM
way/594263307,private,service,,2,20,unpaved,no,alley,no,View on OSM
way/594263308,private,service,,2,20,unpaved,no,alley,no,View on OSM
way/594263309,private,residential,,2,30,paved,yes,,no,View on OSM
way/594263310,private,residential,,2,30,paved,yes,,no,View on OSM
way/594263311,private,residential,,2,30,paved,yes,,no,View on OSM
way/594263312,private,residential,,2,30,paved,yes,,no,View on OSM
way/594263313,private,residential,,2,30,paved,yes,,no,View on OSM
way/594266972,private,residential,,2,30,unpaved,yes,,no,View on OSM
way/594266974,public,path,,1,,paved,no,,no,View on OSM
