id,access,highway,name,lanes,maxspeed,surface,motorcar,service,oneway,Links,latitude,longitude
way/24158513,private,residential,,2,30.0,paved,yes,,no,View on OSM,14.701814716666666,121.11171780000001
way/24158518,public,residential,A. Bonifacio Street,2,30.0,paved,yes,,no,View on OSM,14.697476683333335,121.11064950000001
way/24158573,destination,residential,,2,30.0,paved,yes,,no,View on OSM,14.701065283333334,121.11166843333332
way/24158585,private,residential,,2,30.0,paved,yes,,no,View on OSM,14.698840066666667,121.11113340000001
way/24158628,destination,residential,,2,30.0,paved,yes,,no,View on OSM,14.700585066666667,121.11149913333333
way/24158632,public,residential,A. Bonifacio Extension,2,30.0,paved,yes,,no,View on OSM,14.701097890909091,121.1120945909091
way/24158657,private,residential,,2,30.0,paved,yes,,no,View on OSM,14.6990015,121.11173196666668
way/24158664,private,service,,2,20.0,unpaved,no,alley,no,View on OSM,14.6986705,121.11114045
way/24158694,destination,residential,Jupiter Street,2,30.0,paved,yes,,no,View on OSM,14.697590533333333,121.11111153333333
way/24158710,destination,residential,Humanity Village Road,2,30.0,paved,yes,,no,View on OSM,14.6982938,121.110827375
way/24158765,public,residential,General Villamor Street,2,30.0,paved,yes,,no,View on OSM,14.695531692857143,121.10939647142857
way/24158774,destination,service,,2,20.0,unpaved,no,alley,no,View on OSM,14.70070765,121.11169995
way/24158792,destination,service,,2,20.0,unpaved,no,alley,no,View on OSM,14.7011479,121.11195724999999
way/24158865,private,residential,,2,30.0,paved,yes,,no,View on OSM,14.70171115,121.11164124999999
way/24158891,public,footway,,1,,paved,no,,no,View on OSM,14.69755185,121.111533575
way/28321106,public,residential,General Capinpin Street,2,30.0,paved,yes,,no,View on OSM,14.695320166666667,121.11008679999999
way/28321109,public,residential,General Yengko Street,2,30.0,paved,yes,,no,View on OSM,14.695261857142857,121.10982984285714
way/30438267,public,residential,General Antonio Luna Street,2,30.0,paved,yes,,no,View on OSM,14.695645777777777,121.11085195555557
way/30438268,public,residential,General Lucban Street,2,30.0,paved,yes,,no,View on OSM,14.696407780000001,121.11100428
way/30438269,public,residential,General Malvar Street,2,30.0,paved,yes,,no,View on OSM,14.696410985714286,121.11046759999999
way/34910176,public,residential,San Jose Street,2,30.0,paved,yes,,no,View on OSM,14.702888214285714,121.11276358571429
way/124171728,public,residential,,2,30.0,paved,yes,,no,View on OSM,14.70183854,121.11355914
way/124171729,destination,residential,,2,30.0,paved,yes,,no,View on OSM,14.70238185,121.11295465
way/124171732,private,residential,,2,30.0,paved,yes,,no,View on OSM,14.699384328571428,121.11053362857142
way/124171734,public,residential,,2,30.0,paved,yes,,no,View on OSM,14.701655925,121.113128175
way/124171735,private,residential,,2,30.0,paved,yes,,no,View on OSM,14.6992796,121.11040222
way/124171737,destination,residential,,2,30.0,paved,yes,,no,View on OSM,14.701685600000001,121.11409637142857
way/124171738,destination,service,,2,20.0,unpaved,no,alley,no,View on OSM,14.703047,121.11371535
way/124171740,public,residential,,2,30.0,paved,yes,,no,View on OSM,14.701973066666667,121.11309413333333
way/124171743,private,residential,,2,30.0,paved,yes,,no,View on OSM,14.69902922857143,121.11219271428571
way/124171749,private,residential,Housing Street,2,30.0,paved,yes,,no,View on OSM,14.699003025,121.11059345
way/124171754,public,residential,A. Bonifacio Extension,2,30.0,paved,yes,,no,View on OSM,14.698904438461538,121.1108196153846
way/124171755,destination,residential,,2,30.0,paved,yes,,no,View on OSM,14.702390216666666,121.11355266666668
way/124171758,destination,residential,,2,30.0,paved,yes,,no,View on OSM,14.702307457142856,121.11411828571428
way/124171759,public,residential,A. Bonifacio Street,2,30.0,paved,yes,,no,View on OSM,14.698519642857141,121.10905608571429
way/124171767,private,footway,,1,,paved,no,,no,View on OSM,14.702219549999999,121.11289865
way/124171771,destination,residential,,2,30.0,paved,yes,,no,View on OSM,14.70208156,121.11430402
