@id,access,highway,FID,name,fixme,lanes,maxspeed,surface,motorcar,service,short_name,name:etymology,name:etymology:wikidata,foot,sidewalk,source:maxspeed,bridge,layer,oneway,smoothness
way/24158513,private,residential,way/24158513,,,,,,,,,,,,,,,,,
way/24158518,,residential,way/24158518,A. Bonifacio Street,,,,,,,,,,,,,,,,
way/24158573,destination,residential,way/24158573,,name,,,,,,,,,,,,,,,
way/24158577,destination,residential,way/24158577,James Street,,2,40,concrete,,,,,,,,,,,,
way/24158585,private,residential,way/24158585,,,,,,no,,,,,,,,,,,
way/24158628,destination,residential,way/24158628,,name,,,,,,,,,,,,,,,
way/24158632,,residential,way/24158632,A. Bonifacio Extension,,,,,,,,,,,,,,,,
way/24158657,private,residential,way/24158657,,,,,,,,,,,,,,,,,
way/24158664,private,service,way/24158664,,,,,,,alley,,,,,,,,,,
way/24158670,destination,residential,way/24158670,Jericho Street,,2,,concrete,,,,,,,,,,,,
way/24158671,destination,residential,way/24158671,Jeremiah Street,,2,,concrete,,,,,,,,,,,,
way/24158690,destination,residential,way/24158690,Peter Street,,2,,concrete,,,,,,,,,,,,
way/24158694,destination,residential,way/24158694,Jupiter Street,,,,,,,,,,,,,,,,
way/24158710,destination,residential,way/24158710,Humanity Village Road,,,,,,,,,,,,,,,,
way/24158735,destination,residential,way/24158735,Hosea Street,,2,,concrete,,,,,,,,,,,,
way/24158750,destination,residential,way/24158750,Nahum Street,,2,,concrete,,,,,,,,,,,,
way/24158765,,residential,way/24158765,General Villamor Street,,,,,,,,,,,,,,,,
way/24158774,destination,service,way/24158774,,name,,,,no,alley,,,,,,,,,,
way/24158785,destination,residential,way/24158785,Jeremiah Street,,2,,concrete,,,,,,,,,,,,
way/24158792,destination,service,way/24158792,,name,,,,no,alley,,,,,,,,,,
way/24158865,private,residential,way/24158865,,,,,,,,,,,,,,,,,
way/24158891,,footway,way/24158891,,,,,,,,,,,,,,,,,
way/24158910,destination,residential,way/24158910,Matthew Street,,2,40,concrete,,,,,,,,,,,,
way/28321106,,residential,way/28321106,General Capinpin Street,,,,,,,Capinpin,,,,,,,,,
