@id,access_destination,access_private,access_unknown,highway_footway,highway_path,highway_pedestrian,highway_residential,highway_service,highway_steps,surface_concrete,surface_unknown,surface_unpaved,motorcar_no,motorcar_unknown,bridge_unknown,bridge_yes,oneway_unknown,oneway_yes,foot_unknown,foot_yes,sidewalk_no,sidewalk_unknown,lanes,maxspeed,capacity
way/24158513,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.21266436150250112,-0.23629973222959127,0.09089046899276235
way/24158518,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.21266436150250112,-0.23629973222959127,0.09089046899276235
way/24158573,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.21266436150250112,-0.23629973222959127,0.09089046899276235
way/24158577,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.21266436150250112,4.231913386293594,3.5282027509008693
way/24158585,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.21266436150250112,-0.23629973222959127,0.09089046899276235
way/24158628,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.21266436150250112,-0.23629973222959127,0.09089046899276235
way/24158632,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.21266436150250112,-0.23629973222959127,0.09089046899276235
way/24158657,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.21266436150250112,-0.23629973222959127,0.09089046899276235
way/24158664,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.21266436150250112,-0.23629973222959127,0.09089046899276235
way/24158670,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.21266436150250112,-0.23629973222959127,0.09089046899276235
way/24158671,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.21266436150250112,-0.23629973222959127,0.09089046899276235
way/24158690,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.21266436150250112,-0.23629973222959127,0.09089046899276235
