WKT,fid,id,@id,access,bridge,fixme,foot,highway,lanes,layer,motorcar,name,name:etymology,name:etymology:wikidata,service,short_name,sidewalk,smoothness,surface,Var_min,Var_max,Var_mean
"LINESTRING (121.112025 14.7019027,121.1120045 14.7019054,121.1117803 14.7018384,121.1115968 14.7017829,121.1114553 14.7017342,121.1114449 14.7017247)",1,way/24158513,way/24158513,private,,,,residential,,,,,,,,,,,,1,1,1
"LINESTRING (121.1113412 14.6969337,121.1109816 14.6972079,121.1106589 14.6974627,121.1103281 14.6977167,121.1103006 14.6977517,121.1102866 14.6977874)",2,way/24158518,way/24158518,,,,,residential,,,,A. Bonifacio Street,,,,,,,,,,
"LINESTRING (121.1113803 14.7008077,121.1113916 14.7008281,121.111545 14.7009622,121.1117181 14.7011105,121.1118911 14.7012587,121.1120845 14.7014245)",3,way/24158573,way/24158573,destination,,name,,residential,,,,,,,,,,,,2,3,2.5
"LINESTRING (121.1112262 14.6987796,121.1111848 14.6988109,121.1109892 14.6989297)",4,way/24158585,way/24158585,private,,,,residential,,,no,,,,,,,,,2,2,2
"LINESTRING (121.1117349 14.7001651,121.1113822 14.7007824,121.1113803 14.7008077)",5,way/24158628,way/24158628,destination,,name,,residential,,,,,,,,,,,,2,3,2.5
"LINESTRING (121.1123444 14.7015786,121.1122761 14.7015792,121.1122352 14.7015733,121.1122074 14.7015601,121.1121916 14.7015377,121.112178 14.7015045,121.1120505 14.7009918,121.1119716 14.7007047,121.1119268 14.7005461,121.111886 14.700402,121.1117729 14.7000988)",6,way/24158632,way/24158632,,,,,residential,,,,A. Bonifacio Extension,,,,,,,,2,2,2
"LINESTRING (121.1113307 14.6992808,121.1118162 14.6989504,121.112049 14.6987733)",7,way/24158657,way/24158657,private,,,,residential,,,,,,,,,,,,2,2,2
"LINESTRING (121.1112262 14.6987796,121.1110547 14.6985614)",8,way/24158664,way/24158664,private,,,,service,,,,,,,alley,,,,,1,2,1.5
"LINESTRING (121.1114581 14.6972987,121.1112599 14.6974539,121.1106166 14.698019)",9,way/24158694,way/24158694,destination,,,,residential,,,,Jupiter Street,,,,,,,,,,
"LINESTRING (121.1106262 14.6980928,121.1107714 14.6982373,121.1109275 14.6983926,121.1109844 14.6984525)",10,way/24158710,way/24158710,destination,,,,residential,,,,Humanity Village Road,,,,,,,,,,
"LINESTRING (121.1106589 14.6974627,121.1104256 14.6971194,121.1097824 14.6961291,121.1096407 14.6959257,121.1095961 14.6958468,121.1095025 14.6957042,121.1093666 14.6954846,121.1092255 14.6952592,121.1091654 14.6951664,121.1091001 14.6950561,121.1090488 14.6949835,121.1088272 14.6946285,121.1086798 14.6944402,121.108531 14.6942373)",11,way/24158765,way/24158765,,,,,residential,,,,General Villamor Street,,,,,,,,3,3,3
"LINESTRING (121.111545 14.7009622,121.1118549 14.7004531)",12,way/24158774,way/24158774,destination,,name,,service,,,no,,,,alley,,,,,2,2,2
