WKT,fid,id,@id,access,bridge,fixme,foot,highway,lanes,layer,motorcar,name,name:etymology,name:etymology:wikidata,service,short_name,sidewalk,smoothness,surface,Var_min,Var_max,Var_mean,geometry,start,end,surface_encoded,length
"LINESTRING (121.112025 14.7019027,121.1120045 14.7019054,121.1117803 14.7018384,121.1115968 14.7017829,121.1114553 14.7017342,121.1114449 14.7017247)",1,way/24158513,way/24158513,private,,,,residential,1.0,,,,,,,,,intermediate,unknown,1.0,1.0,1.0,"LINESTRING (121.112025 14.7019027, 121.1120045 14.7019054, 121.1117803 14.7018384, 121.1115968 14.7017829, 121.1114553 14.7017342, 121.1114449 14.7017247)","(121.112025, 14.7019027)","(121.1114449, 14.7017247)",0,0.0006101154074581336
"LINESTRING (121.1113412 14.6969337,121.1109816 14.6972079,121.1106589 14.6974627,121.1103281 14.6977167,121.1103006 14.6977517,121.1102866 14.6977874)",2,way/24158518,way/24158518,,,,,residential,1.0,,,A. Bonifacio Street,,,,,,intermediate,unknown,,,1.0,"LINESTRING (121.1113412 14.6969337, 121.1109816 14.6972079, 121.1106589 14.6974627, 121.1103281 14.6977167, 121.1103006 14.6977517, 121.1102866 14.6977874)","(121.1113412, 14.6969337)","(121.1102866, 14.6977874)",0,0.0013633062763167426
"LINESTRING (121.1113803 14.7008077,121.1113916 14.7008281,121.111545 14.7009622,121.1117181 14.7011105,121.1118911 14.7012587,121.1120845 14.7014245)",3,way/24158573,way/24158573,destination,,name,,residential,1.0,,,,,,,,,intermediate,unknown,2.0,3.0,2.5,"LINESTRING (121.1113803 14.7008077, 121.1113916 14.7008281, 121.111545 14.7009622, 121.1117181 14.7011105, 121.1118911 14.7012587, 121.1120845 14.7014245)","(121.1113803, 14.7008077)","(121.1120845, 14.7014245)",0,0.0009375511519528808
"LINESTRING (121.1112262 14.6987796,121.1111848 14.6988109,121.1109892 14.6989297)",4,way/24158585,way/24158585,private,,,,residential,1.0,,no,,,,,,,intermediate,unknown,2.0,2.0,2.0,"LINESTRING (121.1112262 14.6987796, 121.1111848 14.6988109, 121.1109892 14.6989297)","(121.1112262, 14.6987796)","(121.1109892, 14.6989297)",0,0.00028075142861150727
"LINESTRING (121.1117349 14.7001651,121.1113822 14.7007824,121.1113803 14.7008077)",5,way/24158628,way/24158628,destination,,name,,residential,1.0,,,,,,,,,intermediate,unknown,2.0,3.0,2.5,"LINESTRING (121.1117349 14.7001651, 121.1113822 14.7007824, 121.1113803 14.7008077)","(121.1117349, 14.7001651)","(121.1113803, 14.7008077)",0,0.0007363259397346516
"LINESTRING (121.1123444 14.7015786,121.1122761 14.7015792,121.1122352 14.7015733,121.1122074 14.7015601,121.1121916 14.7015377,121.112178 14.7015045,121.1120505 14.7009918,121.1119716 14.7007047,121.1119268 14.7005461,121.111886 14.700402,121.1117729 14.7000988)",6,way/24158632,way/24158632,,,,,residential,1.0,,,A. Bonifacio Extension,,,,,,intermediate,unknown,2.0,2.0,2.0,"LINESTRING (121.1123444 14.7015786, 121.1122761 14.7015792, 121.1122352 14.7015733, 121.1122074 14.7015601, 121.1121916 14.7015377, 121.112178 14.7015045, 121.1120505 14.7009918, 121.1119716 14.7007047, 121.1119268 14.7005461, 121.111886 14.700402, 121.1117729 14.7000988)","(121.1123444, 14.7015786)","(121.1117729, 14.7000988)",0,0.0016679280329050495
"LINESTRING (121.1113307 14.6992808,121.1118162 14.6989504,121.112049 14.6987733)",7,way/24158657,way/24158657,private,,,,residential,1.0,,,,,,,,,intermediate,unknown,2.0,2.0,2.0,"LINESTRING (121.1113307 14.6992808, 121.1118162 14.6989504, 121.112049 14.6987733)","(121.1113307, 14.6992808)","(121.112049, 14.6987733)",0,0.0008797669247145624
"LINESTRING (121.1112262 14.6987796,121.1110547 14.6985614)",8,way/24158664,way/24158664,private,,,,service,1.0,,,,,,alley,,,intermediate,unknown,1.0,2.0,1.5,"LINESTRING (121.1112262 14.6987796, 121.1110547 14.6985614)","(121.1112262, 14.6987796)","(121.1110547, 14.6985614)",0,0.0002775310613285932
"LINESTRING (121.1114581 14.6972987,121.1112599 14.6974539,121.1106166 14.698019)",9,way/24158694,way/24158694,destination,,,,residential,1.0,,,Jupiter Street,,,,,,intermediate,unknown,,,1.0,"LINESTRING (121.1114581 14.6972987, 121.1112599 14.6974539, 121.1106166 14.698019)","(121.1114581, 14.6972987)","(121.1106166, 14.698019)",0,0.00110798970328682
"LINESTRING (121.1106262 14.6980928,121.1107714 14.6982373,121.1109275 14.6983926,121.1109844 14.6984525)",10,way/24158710,way/24158710,destination,,,,residential,1.0,,,Humanity Village Road,,,,,,intermediate,unknown,,,1.0,"LINESTRING (121.1106262 14.6980928, 121.1107714 14.6982373, 121.1109275 14.6983926, 121.1109844 14.6984525)","(121.1106262, 14.6980928)","(121.1109844, 14.6984525)",0,0.0005076605213469886
